element_index  x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 volume deltaZ
117  2.9000 1.1250 0.15000 2.9500 1.1250 0.15000 2.9500 1.0750 0.15000 2.9000 1.0750 0.15000 0.00012500 0.050000
118  2.9000 1.1250 0.20000 2.9500 1.1250 0.20000 2.9500 1.0750 0.20000 2.9000 1.0750 0.20000 0.00012500 0.050000
119  2.9000 1.1250 0.25000 2.9500 1.1250 0.25000 2.9500 1.0750 0.25000 2.9000 1.0750 0.25000 0.00012500 0.050000
120  2.9000 1.1250 0.30000 2.9500 1.1250 0.30000 2.9500 1.0750 0.30000 2.9000 1.0750 0.30000 0.00012500 0.050000
121  2.9000 1.1250 0.35000 2.9500 1.1250 0.35000 2.9500 1.0750 0.35000 2.9000 1.0750 0.35000 0.00012500 0.050000
122  2.9000 1.1250 0.40000 2.9500 1.1250 0.40000 2.9500 1.0750 0.40000 2.9000 1.0750 0.40000 0.00012500 0.050000
123  2.9000 1.1250 0.45000 2.9500 1.1250 0.45000 2.9500 1.0750 0.45000 2.9000 1.0750 0.45000 0.00012500 0.050000
124  2.9000 1.0750 -0.45000 2.9500 1.0750 -0.45000 2.9500 1.0250 -0.45000 2.9000 1.0250 -0.45000 0.00012500 0.050000
125  2.9000 1.0750 -0.40000 2.9500 1.0750 -0.40000 2.9500 1.0250 -0.40000 2.9000 1.0250 -0.40000 0.00012500 0.050000
126  2.9000 1.0750 -0.35000 2.9500 1.0750 -0.35000 2.9500 1.0250 -0.35000 2.9000 1.0250 -0.35000 0.00012500 0.050000
127  2.9000 1.0750 -0.30000 2.9500 1.0750 -0.30000 2.9500 1.0250 -0.30000 2.9000 1.0250 -0.30000 0.00012500 0.050000
128  2.9000 1.0750 -0.25000 2.9500 1.0750 -0.25000 2.9500 1.0250 -0.25000 2.9000 1.0250 -0.25000 0.00012500 0.050000
129  2.9000 1.0750 -0.20000 2.9500 1.0750 -0.20000 2.9500 1.0250 -0.20000 2.9000 1.0250 -0.20000 0.00012500 0.050000
130  2.9000 1.0750 -0.15000 2.9500 1.0750 -0.15000 2.9500 1.0250 -0.15000 2.9000 1.0250 -0.15000 0.00012500 0.050000
131  2.9000 1.0750 -0.10000 2.9500 1.0750 -0.10000 2.9500 1.0250 -0.10000 2.9000 1.0250 -0.10000 0.00012500 0.050000
132  2.9000 1.0750 -0.050000 2.9500 1.0750 -0.050000 2.9500 1.0250 -0.050000 2.9000 1.0250 -0.050000 0.00012500 0.050000
133  2.9000 1.0750 0.0000 2.9500 1.0750 0.0000 2.9500 1.0250 0.0000 2.9000 1.0250 0.0000 0.00012500 0.050000
134  2.9000 1.0750 0.050000 2.9500 1.0750 0.050000 2.9500 1.0250 0.050000 2.9000 1.0250 0.050000 0.00012500 0.050000
135  2.9000 1.0750 0.10000 2.9500 1.0750 0.10000 2.9500 1.0250 0.10000 2.9000 1.0250 0.10000 0.00012500 0.050000
136  2.9000 1.0750 0.15000 2.9500 1.0750 0.15000 2.9500 1.0250 0.15000 2.9000 1.0250 0.15000 0.00012500 0.050000
137  2.9000 1.0750 0.20000 2.9500 1.0750 0.20000 2.9500 1.0250 0.20000 2.9000 1.0250 0.20000 0.00012500 0.050000
138  2.9000 1.0750 0.25000 2.9500 1.0750 0.25000 2.9500 1.0250 0.25000 2.9000 1.0250 0.25000 0.00012500 0.050000
139  2.9000 1.0750 0.30000 2.9500 1.0750 0.30000 2.9500 1.0250 0.30000 2.9000 1.0250 0.30000 0.00012500 0.050000
140  2.9000 1.0750 0.35000 2.9500 1.0750 0.35000 2.9500 1.0250 0.35000 2.9000 1.0250 0.35000 0.00012500 0.050000
141  2.9000 1.0750 0.40000 2.9500 1.0750 0.40000 2.9500 1.0250 0.40000 2.9000 1.0250 0.40000 0.00012500 0.050000
142  2.9000 1.0750 0.45000 2.9500 1.0750 0.45000 2.9500 1.0250 0.45000 2.9000 1.0250 0.45000 0.00012500 0.050000
143  2.9000 1.0250 -0.45000 2.9500 1.0250 -0.45000 2.9500 0.97500 -0.45000 2.9000 0.97500 -0.45000 0.00012500 0.050000
144  2.9000 1.0250 -0.40000 2.9500 1.0250 -0.40000 2.9500 0.97500 -0.40000 2.9000 0.97500 -0.40000 0.00012500 0.050000
145  2.9000 1.0250 -0.35000 2.9500 1.0250 -0.35000 2.9500 0.97500 -0.35000 2.9000 0.97500 -0.35000 0.00012500 0.050000
146  2.9000 1.0250 -0.30000 2.9500 1.0250 -0.30000 2.9500 0.97500 -0.30000 2.9000 0.97500 -0.30000 0.00012500 0.050000
147  2.9000 1.0250 -0.25000 2.9500 1.0250 -0.25000 2.9500 0.97500 -0.25000 2.9000 0.97500 -0.25000 0.00012500 0.050000
148  2.9000 1.0250 -0.20000 2.9500 1.0250 -0.20000 2.9500 0.97500 -0.20000 2.9000 0.97500 -0.20000 0.00012500 0.050000
149  2.9000 1.0250 -0.15000 2.9500 1.0250 -0.15000 2.9500 0.97500 -0.15000 2.9000 0.97500 -0.15000 0.00012500 0.050000
150  2.9000 1.0250 -0.10000 2.9500 1.0250 -0.10000 2.9500 0.97500 -0.10000 2.9000 0.97500 -0.10000 0.00012500 0.050000
151  2.9000 1.0250 -0.050000 2.9500 1.0250 -0.050000 2.9500 0.97500 -0.050000 2.9000 0.97500 -0.050000 0.00012500 0.050000
152  2.9000 1.0250 0.0000 2.9500 1.0250 0.0000 2.9500 0.97500 0.0000 2.9000 0.97500 0.0000 0.00012500 0.050000
153  2.9000 1.0250 0.050000 2.9500 1.0250 0.050000 2.9500 0.97500 0.050000 2.9000 0.97500 0.050000 0.00012500 0.050000
154  2.9000 1.0250 0.10000 2.9500 1.0250 0.10000 2.9500 0.97500 0.10000 2.9000 0.97500 0.10000 0.00012500 0.050000
155  2.9000 1.0250 0.15000 2.9500 1.0250 0.15000 2.9500 0.97500 0.15000 2.9000 0.97500 0.15000 0.00012500 0.050000
156  2.9000 1.0250 0.20000 2.9500 1.0250 0.20000 2.9500 0.97500 0.20000 2.9000 0.97500 0.20000 0.00012500 0.050000
157  2.9000 1.0250 0.25000 2.9500 1.0250 0.25000 2.9500 0.97500 0.25000 2.9000 0.97500 0.25000 0.00012500 0.050000
158  2.9000 1.0250 0.30000 2.9500 1.0250 0.30000 2.9500 0.97500 0.30000 2.9000 0.97500 0.30000 0.00012500 0.050000
159  2.9000 1.0250 0.35000 2.9500 1.0250 0.35000 2.9500 0.97500 0.35000 2.9000 0.97500 0.35000 0.00012500 0.050000
160  2.9000 1.0250 0.40000 2.9500 1.0250 0.40000 2.9500 0.97500 0.40000 2.9000 0.97500 0.40000 0.00012500 0.050000
161  2.9000 1.0250 0.45000 2.9500 1.0250 0.45000 2.9500 0.97500 0.45000 2.9000 0.97500 0.45000 0.00012500 0.050000
162  2.9000 0.97500 -0.45000 2.9500 0.97500 -0.45000 2.9500 0.92500 -0.45000 2.9000 0.92500 -0.45000 0.00012500 0.050000
163  2.9000 0.97500 -0.40000 2.9500 0.97500 -0.40000 2.9500 0.92500 -0.40000 2.9000 0.92500 -0.40000 0.00012500 0.050000
164  2.9000 0.97500 -0.35000 2.9500 0.97500 -0.35000 2.9500 0.92500 -0.35000 2.9000 0.92500 -0.35000 0.00012500 0.050000
165  2.9000 0.97500 -0.30000 2.9500 0.97500 -0.30000 2.9500 0.92500 -0.30000 2.9000 0.92500 -0.30000 0.00012500 0.050000
166  2.9000 0.97500 -0.25000 2.9500 0.97500 -0.25000 2.9500 0.92500 -0.25000 2.9000 0.92500 -0.25000 0.00012500 0.050000
167  2.9000 0.97500 -0.20000 2.9500 0.97500 -0.20000 2.9500 0.92500 -0.20000 2.9000 0.92500 -0.20000 0.00012500 0.050000
168  2.9000 0.97500 -0.15000 2.9500 0.97500 -0.15000 2.9500 0.92500 -0.15000 2.9000 0.92500 -0.15000 0.00012500 0.050000
169  2.9000 0.97500 -0.10000 2.9500 0.97500 -0.10000 2.9500 0.92500 -0.10000 2.9000 0.92500 -0.10000 0.00012500 0.050000
170  2.9000 0.97500 -0.050000 2.9500 0.97500 -0.050000 2.9500 0.92500 -0.050000 2.9000 0.92500 -0.050000 0.00012500 0.050000
171  2.9000 0.97500 0.0000 2.9500 0.97500 0.0000 2.9500 0.92500 0.0000 2.9000 0.92500 0.0000 0.00012500 0.050000
172  2.9000 0.97500 0.050000 2.9500 0.97500 0.050000 2.9500 0.92500 0.050000 2.9000 0.92500 0.050000 0.00012500 0.050000
173  2.9000 0.97500 0.10000 2.9500 0.97500 0.10000 2.9500 0.92500 0.10000 2.9000 0.92500 0.10000 0.00012500 0.050000
174  2.9000 0.97500 0.15000 2.9500 0.97500 0.15000 2.9500 0.92500 0.15000 2.9000 0.92500 0.15000 0.00012500 0.050000
175  2.9000 0.97500 0.20000 2.9500 0.97500 0.20000 2.9500 0.92500 0.20000 2.9000 0.92500 0.20000 0.00012500 0.050000
176  2.9000 0.97500 0.25000 2.9500 0.97500 0.25000 2.9500 0.92500 0.25000 2.9000 0.92500 0.25000 0.00012500 0.050000
177  2.9000 0.97500 0.30000 2.9500 0.97500 0.30000 2.9500 0.92500 0.30000 2.9000 0.92500 0.30000 0.00012500 0.050000
178  2.9000 0.97500 0.35000 2.9500 0.97500 0.35000 2.9500 0.92500 0.35000 2.9000 0.92500 0.35000 0.00012500 0.050000
179  2.9000 0.97500 0.40000 2.9500 0.97500 0.40000 2.9500 0.92500 0.40000 2.9000 0.92500 0.40000 0.00012500 0.050000
180  2.9000 0.97500 0.45000 2.9500 0.97500 0.45000 2.9500 0.92500 0.45000 2.9000 0.92500 0.45000 0.00012500 0.050000
181  2.9000 0.92500 -0.45000 2.9500 0.92500 -0.45000 2.9500 0.87500 -0.45000 2.9000 0.87500 -0.45000 0.00012500 0.050000
182  2.9000 0.92500 -0.40000 2.9500 0.92500 -0.40000 2.9500 0.87500 -0.40000 2.9000 0.87500 -0.40000 0.00012500 0.050000
183  2.9000 0.92500 -0.35000 2.9500 0.92500 -0.35000 2.9500 0.87500 -0.35000 2.9000 0.87500 -0.35000 0.00012500 0.050000
