cctdif2d
volumeGrid 223
 (4.0953 0.69379 0.0000)  (4.2317 0.68470 0.0000)  (4.2228 0.55166 0.0000)  (4.0865 0.56075 0.0000) 
 (4.0865 0.56075 0.0000)  (4.2228 0.55166 0.0000)  (4.2140 0.41862 0.0000)  (4.0776 0.42772 0.0000) 
 (4.0776 0.42772 0.0000)  (4.2140 0.41862 0.0000)  (4.2113 0.37871 0.0000)  (4.0749 0.38780 0.0000) 
 (4.2432 0.85765 0.0000)  (4.3796 0.84856 0.0000)  (4.3769 0.80865 0.0000)  (4.2406 0.81774 0.0000) 
 (4.2406 0.81774 0.0000)  (4.3769 0.80865 0.0000)  (4.3681 0.67561 0.0000)  (4.2317 0.68470 0.0000) 
 (4.2317 0.68470 0.0000)  (4.3681 0.67561 0.0000)  (4.3592 0.54257 0.0000)  (4.2228 0.55166 0.0000) 
 (4.2228 0.55166 0.0000)  (4.3592 0.54257 0.0000)  (4.3503 0.40953 0.0000)  (4.2140 0.41862 0.0000) 
 (4.2140 0.41862 0.0000)  (4.3503 0.40953 0.0000)  (4.3477 0.36962 0.0000)  (4.2113 0.37871 0.0000) 
 (4.3796 0.84856 0.0000)  (4.5160 0.83947 0.0000)  (4.5133 0.79956 0.0000)  (4.3769 0.80865 0.0000) 
 (4.3769 0.80865 0.0000)  (4.5133 0.79956 0.0000)  (4.5044 0.66652 0.0000)  (4.3681 0.67561 0.0000) 
 (4.3681 0.67561 0.0000)  (4.5044 0.66652 0.0000)  (4.4956 0.53348 0.0000)  (4.3592 0.54257 0.0000) 
 (4.3592 0.54257 0.0000)  (4.4956 0.53348 0.0000)  (4.4867 0.40044 0.0000)  (4.3503 0.40953 0.0000) 
 (4.3503 0.40953 0.0000)  (4.4867 0.40044 0.0000)  (4.4840 0.36053 0.0000)  (4.3477 0.36962 0.0000) 
 (4.5160 0.83947 0.0000)  (4.6523 0.83038 0.0000)  (4.6497 0.79047 0.0000)  (4.5133 0.79956 0.0000) 
 (4.5133 0.79956 0.0000)  (4.6497 0.79047 0.0000)  (4.6408 0.65743 0.0000)  (4.5044 0.66652 0.0000) 
 (4.5044 0.66652 0.0000)  (4.6408 0.65743 0.0000)  (4.6319 0.52439 0.0000)  (4.4956 0.53348 0.0000) 
 (4.4956 0.53348 0.0000)  (4.6319 0.52439 0.0000)  (4.6231 0.39135 0.0000)  (4.4867 0.40044 0.0000) 
 (4.4867 0.40044 0.0000)  (4.6231 0.39135 0.0000)  (4.6204 0.35144 0.0000)  (4.4840 0.36053 0.0000) 
 (4.6523 0.83038 0.0000)  (4.7887 0.82129 0.0000)  (4.7860 0.78138 0.0000)  (4.6497 0.79047 0.0000) 
 (4.6497 0.79047 0.0000)  (4.7860 0.78138 0.0000)  (4.7772 0.64834 0.0000)  (4.6408 0.65743 0.0000) 
 (4.6408 0.65743 0.0000)  (4.7772 0.64834 0.0000)  (4.7683 0.51530 0.0000)  (4.6319 0.52439 0.0000) 
 (4.6319 0.52439 0.0000)  (4.7683 0.51530 0.0000)  (4.7594 0.38226 0.0000)  (4.6231 0.39135 0.0000) 
 (4.6231 0.39135 0.0000)  (4.7594 0.38226 0.0000)  (4.7568 0.34235 0.0000)  (4.6204 0.35144 0.0000) 
 (4.7887 0.82129 0.0000)  (4.9251 0.81220 0.0000)  (4.9224 0.77228 0.0000)  (4.7860 0.78138 0.0000) 
 (4.7860 0.78138 0.0000)  (4.9224 0.77228 0.0000)  (4.9135 0.63925 0.0000)  (4.7772 0.64834 0.0000) 
 (4.7772 0.64834 0.0000)  (4.9135 0.63925 0.0000)  (4.9047 0.50621 0.0000)  (4.7683 0.51530 0.0000) 
 (4.7683 0.51530 0.0000)  (4.9047 0.50621 0.0000)  (4.8958 0.37317 0.0000)  (4.7594 0.38226 0.0000) 
 (4.7594 0.38226 0.0000)  (4.8958 0.37317 0.0000)  (4.8931 0.33326 0.0000)  (4.7568 0.34235 0.0000) 
 (4.9251 0.81220 0.0000)  (5.0614 0.80310 0.0000)  (5.0588 0.76319 0.0000)  (4.9224 0.77228 0.0000) 
 (4.9224 0.77228 0.0000)  (5.0588 0.76319 0.0000)  (5.0499 0.63016 0.0000)  (4.9135 0.63925 0.0000) 
 (4.9135 0.63925 0.0000)  (5.0499 0.63016 0.0000)  (5.0410 0.49712 0.0000)  (4.9047 0.50621 0.0000) 
 (4.9047 0.50621 0.0000)  (5.0410 0.49712 0.0000)  (5.0322 0.36408 0.0000)  (4.8958 0.37317 0.0000) 
 (4.8958 0.37317 0.0000)  (5.0322 0.36408 0.0000)  (5.0295 0.32417 0.0000)  (4.8931 0.33326 0.0000) 
 (5.0614 0.80310 0.0000)  (5.1978 0.79401 0.0000)  (5.1951 0.75410 0.0000)  (5.0588 0.76319 0.0000) 
 (5.0588 0.76319 0.0000)  (5.1951 0.75410 0.0000)  (5.1863 0.62106 0.0000)  (5.0499 0.63016 0.0000) 
 (5.0499 0.63016 0.0000)  (5.1863 0.62106 0.0000)  (5.1774 0.48803 0.0000)  (5.0410 0.49712 0.0000) 
 (5.0410 0.49712 0.0000)  (5.1774 0.48803 0.0000)  (5.1685 0.35499 0.0000)  (5.0322 0.36408 0.0000) 
 (5.0322 0.36408 0.0000)  (5.1685 0.35499 0.0000)  (5.1659 0.31508 0.0000)  (5.0295 0.32417 0.0000) 
 (5.1978 0.79401 0.0000)  (5.3341 0.78492 0.0000)  (5.3315 0.74501 0.0000)  (5.1951 0.75410 0.0000) 
 (5.1951 0.75410 0.0000)  (5.3315 0.74501 0.0000)  (5.3226 0.61197 0.0000)  (5.1863 0.62106 0.0000) 
 (5.1863 0.62106 0.0000)  (5.3226 0.61197 0.0000)  (5.3137 0.47894 0.0000)  (5.1774 0.48803 0.0000) 
 (5.1774 0.48803 0.0000)  (5.3137 0.47894 0.0000)  (5.3049 0.34590 0.0000)  (5.1685 0.35499 0.0000) 
 (5.1685 0.35499 0.0000)  (5.3049 0.34590 0.0000)  (5.3022 0.30599 0.0000)  (5.1659 0.31508 0.0000) 
 (5.3341 0.78492 0.0000)  (5.4705 0.77583 0.0000)  (5.4678 0.73592 0.0000)  (5.3315 0.74501 0.0000) 
 (5.3315 0.74501 0.0000)  (5.4678 0.73592 0.0000)  (5.4590 0.60288 0.0000)  (5.3226 0.61197 0.0000) 
 (5.3226 0.61197 0.0000)  (5.4590 0.60288 0.0000)  (5.4501 0.46984 0.0000)  (5.3137 0.47894 0.0000) 
 (5.3137 0.47894 0.0000)  (5.4501 0.46984 0.0000)  (5.4412 0.33681 0.0000)  (5.3049 0.34590 0.0000) 
 (5.3049 0.34590 0.0000)  (5.4412 0.33681 0.0000)  (5.4386 0.29690 0.0000)  (5.3022 0.30599 0.0000) 
 (5.4705 0.77583 0.0000)  (5.6069 0.76674 0.0000)  (5.6042 0.72683 0.0000)  (5.4678 0.73592 0.0000) 
 (5.4678 0.73592 0.0000)  (5.6042 0.72683 0.0000)  (5.5953 0.59379 0.0000)  (5.4590 0.60288 0.0000) 
 (5.4590 0.60288 0.0000)  (5.5953 0.59379 0.0000)  (5.5865 0.46075 0.0000)  (5.4501 0.46984 0.0000) 
 (5.4501 0.46984 0.0000)  (5.5865 0.46075 0.0000)  (5.5776 0.32772 0.0000)  (5.4412 0.33681 0.0000) 
 (5.4412 0.33681 0.0000)  (5.5776 0.32772 0.0000)  (5.5749 0.28780 0.0000)  (5.4386 0.29690 0.0000) 
 (5.6069 0.76674 0.0000)  (5.7432 0.75765 0.0000)  (5.7406 0.71774 0.0000)  (5.6042 0.72683 0.0000) 
 (5.6042 0.72683 0.0000)  (5.7406 0.71774 0.0000)  (5.7317 0.58470 0.0000)  (5.5953 0.59379 0.0000) 
 (5.5953 0.59379 0.0000)  (5.7317 0.58470 0.0000)  (5.7228 0.45166 0.0000)  (5.5865 0.46075 0.0000) 
 (5.5865 0.46075 0.0000)  (5.7228 0.45166 0.0000)  (5.7140 0.31862 0.0000)  (5.5776 0.32772 0.0000) 
 (5.5776 0.32772 0.0000)  (5.7140 0.31862 0.0000)  (5.7113 0.27871 0.0000)  (5.5749 0.28780 0.0000) 
 (5.7432 0.75765 0.0000)  (5.8796 0.74856 0.0000)  (5.8769 0.70865 0.0000)  (5.7406 0.71774 0.0000) 
 (5.7406 0.71774 0.0000)  (5.8769 0.70865 0.0000)  (5.8681 0.57561 0.0000)  (5.7317 0.58470 0.0000) 
 (5.7317 0.58470 0.0000)  (5.8681 0.57561 0.0000)  (5.8592 0.44257 0.0000)  (5.7228 0.45166 0.0000) 
 (5.7228 0.45166 0.0000)  (5.8592 0.44257 0.0000)  (5.8503 0.30953 0.0000)  (5.7140 0.31862 0.0000) 
 (5.7140 0.31862 0.0000)  (5.8503 0.30953 0.0000)  (5.8477 0.26962 0.0000)  (5.7113 0.27871 0.0000) 
 (5.8707 0.61552 0.0000)  (6.0071 0.60643 0.0000)  (6.0044 0.56652 0.0000)  (5.8681 0.57561 0.0000) 
 (5.8681 0.57561 0.0000)  (6.0044 0.56652 0.0000)  (5.9956 0.43348 0.0000)  (5.8592 0.44257 0.0000) 
 (5.8592 0.44257 0.0000)  (5.9956 0.43348 0.0000)  (5.9929 0.39357 0.0000)  (5.8565 0.40266 0.0000) 
 (2.8544 1.6853 0.0000)  (2.9973 1.7282 0.0000)  (3.0088 1.6898 0.0000)  (2.8659 1.6470 0.0000) 
 (2.8659 1.6470 0.0000)  (3.0088 1.6898 0.0000)  (3.0471 1.5621 0.0000)  (2.9042 1.5193 0.0000) 
 (2.9042 1.5193 0.0000)  (3.0471 1.5621 0.0000)  (3.0854 1.4344 0.0000)  (2.9425 1.3916 0.0000) 
 (2.9425 1.3916 0.0000)  (3.0854 1.4344 0.0000)  (3.1237 1.3067 0.0000)  (2.9808 1.2639 0.0000) 
 (2.9808 1.2639 0.0000)  (3.1237 1.3067 0.0000)  (3.1620 1.1790 0.0000)  (3.0192 1.1361 0.0000) 
 (3.0192 1.1361 0.0000)  (3.1620 1.1790 0.0000)  (3.2003 1.0513 0.0000)  (3.0575 1.0084 0.0000) 
 (3.0575 1.0084 0.0000)  (3.2003 1.0513 0.0000)  (3.2386 0.92358 0.0000)  (3.0958 0.88072 0.0000) 
 (3.0958 0.88072 0.0000)  (3.2386 0.92358 0.0000)  (3.2770 0.79587 0.0000)  (3.1341 0.75301 0.0000) 
