element_index  cx cy cz volume deltaZ
241  2.5543 0.76903 0.0000 0.0000 0.0000
242  2.7839 0.67664 0.0000 0.0000 0.0000
243  2.9734 0.86606 0.0000 0.0000 0.0000
244  2.9734 1.1339 0.0000 0.0000 0.0000
245  2.7839 1.3234 0.0000 0.0000 0.0000
246  2.5161 1.3234 0.0000 0.0000 0.0000
247  2.3266 1.1339 0.0000 0.0000 0.0000
248  2.3266 0.86606 0.0000 0.0000 0.0000
249  2.5161 0.67664 0.0000 0.0000 0.0000
250  2.7378 0.55865 0.0000 0.0000 0.0000
251  2.9000 0.62584 0.0000 0.0000 0.0000
252  3.0242 0.74999 0.0000 0.0000 0.0000
253  3.0914 0.91221 0.0000 0.0000 0.0000
254  3.0914 1.0878 0.0000 0.0000 0.0000
255  3.0242 1.2500 0.0000 0.0000 0.0000
256  2.9000 1.3742 0.0000 0.0000 0.0000
257  2.7378 1.4414 0.0000 0.0000 0.0000
258  2.5622 1.4414 0.0000 0.0000 0.0000
259  2.4000 1.3742 0.0000 0.0000 0.0000
260  2.2758 1.2500 0.0000 0.0000 0.0000
261  2.2086 1.0878 0.0000 0.0000 0.0000
262  2.2086 0.91221 0.0000 0.0000 0.0000
263  2.2758 0.74999 0.0000 0.0000 0.0000
264  2.4000 0.62584 0.0000 0.0000 0.0000
265  2.5622 0.55865 0.0000 0.0000 0.0000
266  2.8000 1.0000 0.0000 0.0000 0.0000
267  2.7000 1.0000 0.0000 0.0000 0.0000
268  2.8561 0.89393 0.0000 0.0000 0.0000
269  2.8561 1.1061 0.0000 0.0000 0.0000
270  2.6439 1.1061 0.0000 0.0000 0.0000
271  2.6439 0.89393 0.0000 0.0000 0.0000
272  2.8457 0.76903 0.0000 0.0000 0.0000
273  2.9810 0.90433 0.0000 0.0000 0.0000
274  2.9810 1.0957 0.0000 0.0000 0.0000
275  2.8457 1.2310 0.0000 0.0000 0.0000
276  2.6543 1.2310 0.0000 0.0000 0.0000
277  2.5190 1.0957 0.0000 0.0000 0.0000
278  2.5190 0.90433 0.0000 0.0000 0.0000
