cctdif2d
volumeGrid 386
 (3.0089 0.83319 -0.096985)  (3.1450 0.82043 -0.094313)  (3.1331 0.64144 -0.15260)  (2.9966 0.64913 -0.15692) 
 (2.9966 0.64913 -0.15692)  (3.1331 0.64144 -0.15260)  (3.1257 0.53081 -3.9300e-17)  (2.9890 0.53537 -4.0413e-17) 
 (3.1386 0.72473 0.052783)  (3.2749 0.71441 0.050871)  (3.2749 0.71441 -0.050871)  (3.1386 0.72473 -0.052783) 
 (3.1257 0.53081 0.0000)  (3.2624 0.52625 0.0000)  (3.2695 0.63375 0.14828)  (3.1331 0.64144 0.15260) 
 (3.1331 0.64144 0.15260)  (3.2695 0.63375 0.14828)  (3.2811 0.80767 0.091641)  (3.1450 0.82043 0.094313) 
 (3.1450 0.82043 0.094313)  (3.2811 0.80767 0.091641)  (3.2811 0.80767 -0.091641)  (3.1450 0.82043 -0.094313) 
 (3.1450 0.82043 -0.094313)  (3.2811 0.80767 -0.091641)  (3.2695 0.63375 -0.14828)  (3.1331 0.64144 -0.15260) 
 (3.1331 0.64144 -0.15260)  (3.2695 0.63375 -0.14828)  (3.2624 0.52625 -3.8187e-17)  (3.1257 0.53081 -3.9300e-17) 
 (3.2749 0.71441 0.050871)  (3.4112 0.70409 0.048958)  (3.4112 0.70409 -0.048958)  (3.2749 0.71441 -0.050871) 
 (3.2624 0.52625 0.0000)  (3.3990 0.52170 0.0000)  (3.4091 0.67273 0.15136)  (3.2727 0.68182 0.15591) 
 (3.2727 0.68182 0.15591)  (3.4091 0.67273 0.15136)  (3.4192 0.82376 1.8537e-17)  (3.2831 0.83738 1.9093e-17) 
 (3.2831 0.83738 1.9093e-17)  (3.4192 0.82376 1.8537e-17)  (3.4091 0.67273 -0.15136)  (3.2727 0.68182 -0.15591) 
 (3.2727 0.68182 -0.15591)  (3.4091 0.67273 -0.15136)  (3.3990 0.52170 -3.7073e-17)  (3.2624 0.52625 -3.8187e-17) 
 (3.4112 0.70409 0.048958)  (3.5475 0.69378 0.047046)  (3.5475 0.69378 -0.047046)  (3.4112 0.70409 -0.048958) 
 (3.3990 0.52170 0.0000)  (3.5357 0.51714 0.0000)  (3.5455 0.66364 0.14682)  (3.4091 0.67273 0.15136) 
 (3.4091 0.67273 0.15136)  (3.5455 0.66364 0.14682)  (3.5552 0.81013 1.7980e-17)  (3.4192 0.82376 1.8537e-17) 
 (3.4192 0.82376 1.8537e-17)  (3.5552 0.81013 1.7980e-17)  (3.5455 0.66364 -0.14682)  (3.4091 0.67273 -0.15136) 
 (3.4091 0.67273 -0.15136)  (3.5455 0.66364 -0.14682)  (3.5357 0.51714 -3.5960e-17)  (3.3990 0.52170 -3.7073e-17) 
 (3.5475 0.69378 0.047046)  (3.6837 0.68346 0.045133)  (3.6837 0.68346 -0.045133)  (3.5475 0.69378 -0.047046) 
 (3.5357 0.51714 0.0000)  (3.6724 0.51259 0.0000)  (3.6818 0.65455 0.14227)  (3.5455 0.66364 0.14682) 
 (3.5455 0.66364 0.14682)  (3.6818 0.65455 0.14227)  (3.6913 0.79650 1.7423e-17)  (3.5552 0.81013 1.7980e-17) 
 (3.5552 0.81013 1.7980e-17)  (3.6913 0.79650 1.7423e-17)  (3.6818 0.65455 -0.14227)  (3.5455 0.66364 -0.14682) 
 (3.5455 0.66364 -0.14682)  (3.6818 0.65455 -0.14227)  (3.6724 0.51259 -3.4847e-17)  (3.5357 0.51714 -3.5960e-17) 
 (3.6837 0.68346 0.045133)  (3.8200 0.67314 0.043221)  (3.8200 0.67314 -0.043221)  (3.6837 0.68346 -0.045133) 
 (3.6724 0.51259 0.0000)  (3.8090 0.50803 0.0000)  (3.8182 0.64545 0.13773)  (3.6818 0.65455 0.14227) 
 (3.6818 0.65455 0.14227)  (3.8182 0.64545 0.13773)  (3.8273 0.78288 1.6867e-17)  (3.6913 0.79650 1.7423e-17) 
 (3.6913 0.79650 1.7423e-17)  (3.8273 0.78288 1.6867e-17)  (3.8182 0.64545 -0.13773)  (3.6818 0.65455 -0.14227) 
 (3.6818 0.65455 -0.14227)  (3.8182 0.64545 -0.13773)  (3.8090 0.50803 -3.3733e-17)  (3.6724 0.51259 -3.4847e-17) 
 (3.8200 0.67314 0.043221)  (3.9563 0.66283 0.041309)  (3.9563 0.66283 -0.041309)  (3.8200 0.67314 -0.043221) 
 (3.8090 0.50803 0.0000)  (3.9457 0.50348 0.0000)  (3.9545 0.63636 0.13318)  (3.8182 0.64545 0.13773) 
 (3.8182 0.64545 0.13773)  (3.9545 0.63636 0.13318)  (3.9634 0.76925 1.6310e-17)  (3.8273 0.78288 1.6867e-17) 
 (3.8273 0.78288 1.6867e-17)  (3.9634 0.76925 1.6310e-17)  (3.9545 0.63636 -0.13318)  (3.8182 0.64545 -0.13773) 
 (3.8182 0.64545 -0.13773)  (3.9545 0.63636 -0.13318)  (3.9457 0.50348 -3.2620e-17)  (3.8090 0.50803 -3.3733e-17) 
 (3.9563 0.66283 0.041309)  (4.0926 0.65251 0.039396)  (4.0926 0.65251 -0.039396)  (3.9563 0.66283 -0.041309) 
 (3.9457 0.50348 0.0000)  (4.0824 0.49892 0.0000)  (4.0909 0.62727 0.12864)  (3.9545 0.63636 0.13318) 
 (3.9545 0.63636 0.13318)  (4.0909 0.62727 0.12864)  (4.0995 0.75562 1.5753e-17)  (3.9634 0.76925 1.6310e-17) 
 (3.9634 0.76925 1.6310e-17)  (4.0995 0.75562 1.5753e-17)  (4.0909 0.62727 -0.12864)  (3.9545 0.63636 -0.13318) 
 (3.9545 0.63636 -0.13318)  (4.0909 0.62727 -0.12864)  (4.0824 0.49892 -3.1507e-17)  (3.9457 0.50348 -3.2620e-17) 
 (4.0926 0.65251 0.039396)  (4.2289 0.64220 0.037484)  (4.2289 0.64220 -0.037484)  (4.0926 0.65251 -0.039396) 
 (4.0824 0.49892 0.0000)  (4.2190 0.49437 0.0000)  (4.2273 0.61818 0.12409)  (4.0909 0.62727 0.12864) 
 (4.0909 0.62727 0.12864)  (4.2273 0.61818 0.12409)  (4.2355 0.74200 1.5197e-17)  (4.0995 0.75562 1.5753e-17) 
 (4.0995 0.75562 1.5753e-17)  (4.2355 0.74200 1.5197e-17)  (4.2273 0.61818 -0.12409)  (4.0909 0.62727 -0.12864) 
 (4.0909 0.62727 -0.12864)  (4.2273 0.61818 -0.12409)  (4.2190 0.49437 -3.0394e-17)  (4.0824 0.49892 -3.1507e-17) 
 (4.2289 0.64220 0.037484)  (4.3652 0.63188 0.035571)  (4.3652 0.63188 -0.035571)  (4.2289 0.64220 -0.037484) 
 (4.2190 0.49437 0.0000)  (4.3557 0.48981 0.0000)  (4.3636 0.60909 0.11955)  (4.2273 0.61818 0.12409) 
 (4.2273 0.61818 0.12409)  (4.3636 0.60909 0.11955)  (4.3716 0.72837 1.4640e-17)  (4.2355 0.74200 1.5197e-17) 
 (4.2355 0.74200 1.5197e-17)  (4.3716 0.72837 1.4640e-17)  (4.3636 0.60909 -0.11955)  (4.2273 0.61818 -0.12409) 
 (4.2273 0.61818 -0.12409)  (4.3636 0.60909 -0.11955)  (4.3557 0.48981 -2.9280e-17)  (4.2190 0.49437 -3.0394e-17) 
 (4.3652 0.63188 0.035571)  (4.5014 0.62156 0.033659)  (4.5014 0.62156 -0.033659)  (4.3652 0.63188 -0.035571) 
 (4.3557 0.48981 0.0000)  (4.4924 0.48525 0.0000)  (4.5000 0.60000 0.11500)  (4.3636 0.60909 0.11955) 
 (4.3636 0.60909 0.11955)  (4.5000 0.60000 0.11500)  (4.5076 0.71475 1.4083e-17)  (4.3716 0.72837 1.4640e-17) 
 (4.3716 0.72837 1.4640e-17)  (4.5076 0.71475 1.4083e-17)  (4.5000 0.60000 -0.11500)  (4.3636 0.60909 -0.11955) 
 (4.3636 0.60909 -0.11955)  (4.5000 0.60000 -0.11500)  (4.4924 0.48525 -2.8167e-17)  (4.3557 0.48981 -2.9280e-17) 
 (4.5014 0.62156 0.033659)  (4.6377 0.61125 0.031746)  (4.6377 0.61125 -0.031746)  (4.5014 0.62156 -0.033659) 
 (4.4924 0.48538 0.0054257)  (4.6290 0.48082 0.0052112)  (4.6397 0.64145 0.098156)  (4.5035 0.65262 0.10219) 
 (4.5041 0.66200 0.096769)  (4.6403 0.65046 0.092944)  (4.6403 0.65046 -0.092944)  (4.5041 0.66200 -0.096769) 
 (4.5035 0.65262 -0.10219)  (4.6397 0.64145 -0.098156)  (4.6290 0.48082 -0.0052112)  (4.4924 0.48538 -0.0054257) 
 (4.6377 0.61125 0.031746)  (4.7740 0.60093 0.029834)  (4.7740 0.60093 -0.029834)  (4.6377 0.61125 -0.031746) 
 (4.6290 0.48082 0.0052112)  (4.7657 0.47626 0.0049968)  (4.7760 0.63028 0.094116)  (4.6397 0.64145 0.098156) 
 (4.6403 0.65046 0.092944)  (4.7765 0.63891 0.089119)  (4.7765 0.63891 -0.089119)  (4.6403 0.65046 -0.092944) 
 (4.6397 0.64145 -0.098156)  (4.7760 0.63028 -0.094116)  (4.7657 0.47626 -0.0049968)  (4.6290 0.48082 -0.0052112) 
 (4.7740 0.60093 0.029834)  (4.9103 0.59111 0.028687)  (4.9103 0.59111 -0.028687)  (4.7740 0.60093 -0.029834) 
 (4.7657 0.47626 0.0049968)  (4.9023 0.47079 0.0048252)  (4.9122 0.61952 0.090885)  (4.7760 0.63028 0.094116) 
 (4.7765 0.63891 0.089119)  (4.9128 0.62786 0.086060)  (4.9128 0.62786 -0.086060)  (4.7765 0.63891 -0.089119) 
 (4.7760 0.63028 -0.094116)  (4.9122 0.61952 -0.090885)  (4.9023 0.47079 -0.0048252)  (4.7657 0.47626 -0.0049968) 
 (4.9115 0.60948 0.057373)  (5.0478 0.59917 0.055461)  (5.0478 0.59917 -0.055461)  (4.9115 0.60948 -0.057373) 
 (5.0478 0.59917 0.055461)  (5.1841 0.58885 0.053548)  (5.1841 0.58885 -0.053548)  (5.0478 0.59917 -0.055461) 
