element_index  x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 volume deltaZ
56  2.7500 1.2325 0.40270 3.0000 1.2325 0.40270 3.0000 1.4027 0.23250 2.7500 1.4027 0.23250 0.0013563 0.0000
57  2.7500 1.4027 0.23250 3.0000 1.4027 0.23250 3.0000 1.4650 5.6946e-17 2.7500 1.4650 5.6946e-17 0.0013563 0.0000
58  2.7500 1.4650 5.6946e-17 3.0000 1.4650 5.6946e-17 3.0000 1.4027 -0.23250 2.7500 1.4027 -0.23250 0.0013563 0.0000
59  2.7500 1.4027 -0.23250 3.0000 1.4027 -0.23250 3.0000 1.2325 -0.40270 2.7500 1.2325 -0.40270 0.0013563 0.0000
60  2.7500 1.2325 -0.40270 3.0000 1.2325 -0.40270 3.0000 1.0000 -0.46500 2.7500 1.0000 -0.46500 0.0013563 0.0000
61  2.7500 1.0000 -0.46500 3.0000 1.0000 -0.46500 3.0000 0.76750 -0.40270 2.7500 0.76750 -0.40270 0.0013563 0.0000
62  2.7500 0.76750 -0.40270 3.0000 0.76750 -0.40270 3.0000 0.59730 -0.23250 2.7500 0.59730 -0.23250 0.0013563 0.0000
63  2.7500 0.59730 -0.23250 3.0000 0.59730 -0.23250 3.0000 0.53500 -5.2690e-16 2.7500 0.53500 -5.2690e-16 0.0013563 0.0000
64  3.0023 0.73504 0.054696 3.1386 0.72473 0.052783 3.1386 0.72473 -0.052783 3.0023 0.73504 -0.054696 0.0022298 0.0000
65  2.9890 0.53537 0.0000 3.1257 0.53081 0.0000 3.1331 0.64144 0.15260 2.9966 0.64913 0.15692 0.00062270 0.0000
66  2.9966 0.64913 0.15692 3.1331 0.64144 0.15260 3.1450 0.82043 0.094313 3.0089 0.83319 0.096985 0.00062270 0.0000
67  3.0089 0.83319 0.096985 3.1450 0.82043 0.094313 3.1450 0.82043 -0.094313 3.0089 0.83319 -0.096985 0.00062270 0.0000
68  3.0089 0.83319 -0.096985 3.1450 0.82043 -0.094313 3.1331 0.64144 -0.15260 2.9966 0.64913 -0.15692 0.00062270 0.0000
69  2.9966 0.64913 -0.15692 3.1331 0.64144 -0.15260 3.1257 0.53081 -3.9300e-17 2.9890 0.53537 -4.0413e-17 0.00062270 0.0000
70  3.1386 0.72473 0.052783 3.2749 0.71441 0.050871 3.2749 0.71441 -0.050871 3.1386 0.72473 -0.052783 0.0020740 0.0000
71  3.1257 0.53081 0.0000 3.2624 0.52625 0.0000 3.2695 0.63375 0.14828 3.1331 0.64144 0.15260 0.00060531 0.0000
72  3.1331 0.64144 0.15260 3.2695 0.63375 0.14828 3.2811 0.80767 0.091641 3.1450 0.82043 0.094313 0.00060531 0.0000
73  3.1450 0.82043 0.094313 3.2811 0.80767 0.091641 3.2811 0.80767 -0.091641 3.1450 0.82043 -0.094313 0.00060531 0.0000
74  3.1450 0.82043 -0.094313 3.2811 0.80767 -0.091641 3.2695 0.63375 -0.14828 3.1331 0.64144 -0.15260 0.00060531 0.0000
75  3.1331 0.64144 -0.15260 3.2695 0.63375 -0.14828 3.2624 0.52625 -3.8187e-17 3.1257 0.53081 -3.9300e-17 0.00060531 0.0000
76  3.2749 0.71441 0.050871 3.4112 0.70409 0.048958 3.4112 0.70409 -0.048958 3.2749 0.71441 -0.050871 0.0019238 0.0000
77  3.2624 0.52625 0.0000 3.3990 0.52170 0.0000 3.4091 0.67273 0.15136 3.2727 0.68182 0.15591 0.00073489 0.0000
78  3.2727 0.68182 0.15591 3.4091 0.67273 0.15136 3.4192 0.82376 1.8537e-17 3.2831 0.83738 1.9093e-17 0.00073489 0.0000
79  3.2831 0.83738 1.9093e-17 3.4192 0.82376 1.8537e-17 3.4091 0.67273 -0.15136 3.2727 0.68182 -0.15591 0.00073489 0.0000
80  3.2727 0.68182 -0.15591 3.4091 0.67273 -0.15136 3.3990 0.52170 -3.7073e-17 3.2624 0.52625 -3.8187e-17 0.00073489 0.0000
81  3.4112 0.70409 0.048958 3.5475 0.69378 0.047046 3.5475 0.69378 -0.047046 3.4112 0.70409 -0.048958 0.0017792 0.0000
82  3.3990 0.52170 0.0000 3.5357 0.51714 0.0000 3.5455 0.66364 0.14682 3.4091 0.67273 0.15136 0.00071315 0.0000
83  3.4091 0.67273 0.15136 3.5455 0.66364 0.14682 3.5552 0.81013 1.7980e-17 3.4192 0.82376 1.8537e-17 0.00071315 0.0000
84  3.4192 0.82376 1.8537e-17 3.5552 0.81013 1.7980e-17 3.5455 0.66364 -0.14682 3.4091 0.67273 -0.15136 0.00071315 0.0000
85  3.4091 0.67273 -0.15136 3.5455 0.66364 -0.14682 3.5357 0.51714 -3.5960e-17 3.3990 0.52170 -3.7073e-17 0.00071315 0.0000
86  3.5475 0.69378 0.047046 3.6837 0.68346 0.045133 3.6837 0.68346 -0.045133 3.5475 0.69378 -0.047046 0.0016403 0.0000
87  3.5357 0.51714 0.0000 3.6724 0.51259 0.0000 3.6818 0.65455 0.14227 3.5455 0.66364 0.14682 0.00069141 0.0000
88  3.5455 0.66364 0.14682 3.6818 0.65455 0.14227 3.6913 0.79650 1.7423e-17 3.5552 0.81013 1.7980e-17 0.00069141 0.0000
89  3.5552 0.81013 1.7980e-17 3.6913 0.79650 1.7423e-17 3.6818 0.65455 -0.14227 3.5455 0.66364 -0.14682 0.00069141 0.0000
