element_index  x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 volume deltaZ
69  3.5499 0.73016 -0.13333 3.6863 0.72106 -0.13333 3.6774 0.58803 -0.13333 3.5410 0.59712 -0.13333 0.0024296 0.13333
70  3.5499 0.73016 0.0000 3.6863 0.72106 0.0000 3.6774 0.58803 0.0000 3.5410 0.59712 0.0000 0.0024296 0.13333
71  3.5499 0.73016 0.13333 3.6863 0.72106 0.13333 3.6774 0.58803 0.13333 3.5410 0.59712 0.13333 0.0024296 0.13333
72  3.5410 0.59712 0.0000 3.6774 0.58803 0.0000 3.6685 0.45499 0.0000 3.5322 0.46408 0.0000 0.0024296 0.13333
73  3.6951 0.85410 0.0000 3.8315 0.84501 0.0000 3.8226 0.71197 0.0000 3.6863 0.72106 0.0000 0.0024296 0.13333
74  3.6863 0.72106 -0.13333 3.8226 0.71197 -0.13333 3.8137 0.57894 -0.13333 3.6774 0.58803 -0.13333 0.0024296 0.13333
75  3.6863 0.72106 0.0000 3.8226 0.71197 0.0000 3.8137 0.57894 0.0000 3.6774 0.58803 0.0000 0.0024296 0.13333
76  3.6863 0.72106 0.13333 3.8226 0.71197 0.13333 3.8137 0.57894 0.13333 3.6774 0.58803 0.13333 0.0024296 0.13333
77  3.6774 0.58803 0.0000 3.8137 0.57894 0.0000 3.8049 0.44590 0.0000 3.6685 0.45499 0.0000 0.0024296 0.13333
78  3.8315 0.84501 0.0000 3.9678 0.83592 0.0000 3.9590 0.70288 0.0000 3.8226 0.71197 0.0000 0.0024296 0.13333
79  3.8226 0.71197 -0.13333 3.9590 0.70288 -0.13333 3.9501 0.56984 -0.13333 3.8137 0.57894 -0.13333 0.0024296 0.13333
80  3.8226 0.71197 0.0000 3.9590 0.70288 0.0000 3.9501 0.56984 0.0000 3.8137 0.57894 0.0000 0.0024296 0.13333
81  3.8226 0.71197 0.13333 3.9590 0.70288 0.13333 3.9501 0.56984 0.13333 3.8137 0.57894 0.13333 0.0024296 0.13333
82  3.8137 0.57894 0.0000 3.9501 0.56984 0.0000 3.9412 0.43681 0.0000 3.8049 0.44590 0.0000 0.0024296 0.13333
83  3.9678 0.83592 0.0000 4.1042 0.82683 0.0000 4.0953 0.69379 0.0000 3.9590 0.70288 0.0000 0.0024296 0.13333
84  3.9590 0.70288 -0.13333 4.0953 0.69379 -0.13333 4.0865 0.56075 -0.13333 3.9501 0.56984 -0.13333 0.0024296 0.13333
85  3.9590 0.70288 0.0000 4.0953 0.69379 0.0000 4.0865 0.56075 0.0000 3.9501 0.56984 0.0000 0.0024296 0.13333
86  3.9590 0.70288 0.13333 4.0953 0.69379 0.13333 4.0865 0.56075 0.13333 3.9501 0.56984 0.13333 0.0024296 0.13333
87  3.9501 0.56984 0.0000 4.0865 0.56075 0.0000 4.0776 0.42772 0.0000 3.9412 0.43681 0.0000 0.0024296 0.13333
88  4.1042 0.82683 0.0000 4.2406 0.81774 0.0000 4.2317 0.68470 0.0000 4.0953 0.69379 0.0000 0.0024296 0.13333
89  4.0953 0.69379 -0.13333 4.2317 0.68470 -0.13333 4.2228 0.55166 -0.13333 4.0865 0.56075 -0.13333 0.0024296 0.13333
90  4.0953 0.69379 0.0000 4.2317 0.68470 0.0000 4.2228 0.55166 0.0000 4.0865 0.56075 0.0000 0.0024296 0.13333
91  4.0953 0.69379 0.13333 4.2317 0.68470 0.13333 4.2228 0.55166 0.13333 4.0865 0.56075 0.13333 0.0024296 0.13333
92  4.0865 0.56075 0.0000 4.2228 0.55166 0.0000 4.2140 0.41862 0.0000 4.0776 0.42772 0.0000 0.0024296 0.13333
