time Vol_0_default_submembrane_pointA_Spc_a Vol_1_default_submembrane_Spc_a Vol_2_region1_submembrane_Spc_a Vol_3_region1_submembrane_Spc_a Vol_0_default_submembrane_pointA_Spc_b Vol_1_default_submembrane_Spc_b Vol_2_region1_submembrane_Spc_b Vol_3_region1_submembrane_Spc_b Vol_0_default_submembrane_pointA_Spc_c Vol_1_default_submembrane_Spc_c Vol_2_region1_submembrane_Spc_c Vol_3_region1_submembrane_Spc_c Vol_0_default_submembrane_pointA_Spc_d Vol_1_default_submembrane_Spc_d Vol_2_region1_submembrane_Spc_d Vol_3_region1_submembrane_Spc_d
5.4000 73 00 00 00 45 60 75 76 15 00 00 00 33 23 18 14 
5.4500 74 00 00 00 45 60 75 76 15 00 00 00 32 22 20 15 
5.5000 74 00 00 00 44 60 75 76 16 00 00 00 33 22 20 15 
5.5500 75 00 00 00 44 60 75 76 16 00 00 00 32 24 22 13 
5.6000 75 00 00 00 43 60 75 76 17 00 00 00 32 26 22 12 
5.6500 76 00 00 00 43 60 75 76 17 00 00 00 31 29 21 12 
5.7000 77 00 00 00 43 60 75 76 17 00 00 00 30 32 21 11 
5.7500 78 00 00 00 43 60 75 76 17 00 00 00 33 28 20 14 
5.8000 77 00 00 00 41 60 75 76 19 00 00 00 31 32 19 14 
5.8500 77 00 00 00 40 60 75 76 20 00 00 00 30 30 23 14 
5.9000 78 00 00 00 40 60 75 76 20 00 00 00 27 35 21 15 
5.9500 79 00 00 00 40 60 75 76 20 00 00 00 28 34 20 17 
6.0000 80 00 00 00 40 60 75 76 20 00 00 00 28 34 23 15 
6.0500 81 00 00 00 40 60 75 76 20 00 00 00 26 37 20 18 
6.1000 82 00 00 00 40 60 75 76 20 00 00 00 27 36 20 19 
6.1500 83 00 00 00 40 60 75 76 20 00 00 00 28 34 21 20 
6.2000 84 00 00 00 40 60 75 76 20 00 00 00 28 35 23 18 
6.2500 85 00 00 00 40 60 75 76 20 00 00 00 30 32 25 18 
6.3000 84 00 00 00 38 60 75 76 22 00 00 00 29 38 17 22 
6.3500 85 00 00 00 38 60 75 76 22 00 00 00 32 35 19 21 
6.4000 86 00 00 00 38 60 75 76 22 00 00 00 35 32 22 19 
6.4500 86 00 00 00 37 60 75 76 23 00 00 00 36 31 23 19 
6.5000 87 00 00 00 37 60 75 76 23 00 00 00 36 32 21 21 
6.5500 88 00 00 00 37 60 75 76 23 00 00 00 36 33 22 20 
6.6000 89 00 00 00 37 60 75 76 23 00 00 00 38 31 23 20 
6.6500 90 00 00 00 37 60 75 76 23 00 00 00 40 31 22 20 
6.7000 90 00 00 00 36 60 75 76 24 00 00 00 42 29 24 19 
6.7500 91 00 00 00 36 60 75 76 24 00 00 00 40 30 24 21 
6.8000 92 00 00 00 36 60 75 76 24 00 00 00 39 33 25 19 
6.8500 92 00 00 00 35 60 75 76 25 00 00 00 42 29 27 19 
6.9000 92 00 00 00 34 60 75 76 26 00 00 00 42 25 30 21 
6.9500 93 00 00 00 34 60 75 76 26 00 00 00 42 26 29 22 
7.0000 94 00 00 00 34 60 75 76 26 00 00 00 41 30 29 20 
7.0500 95 00 00 00 34 60 75 76 26 00 00 00 36 33 31 21 
7.1000 95 00 00 00 33 60 75 76 27 00 00 00 35 35 31 21 
7.1500 96 00 00 00 33 60 75 76 27 00 00 00 36 34 33 20 
7.2000 97 00 00 00 33 60 75 76 27 00 00 00 41 28 35 20 
7.2500 98 00 00 00 33 60 75 76 27 00 00 00 43 27 36 19 
7.3000 99 00 00 00 33 60 75 76 27 00 00 00 40 30 37 19 
7.3500 100 00 00 00 33 60 75 76 27 00 00 00 41 26 39 21 
7.4000 101 00 00 00 33 60 75 76 27 00 00 00 44 25 36 23 
7.4500 102 00 00 00 33 60 75 76 27 00 00 00 45 31 28 25 
7.5000 102 00 00 00 32 60 75 76 28 00 00 00 43 33 28 26 
7.5500 102 00 00 00 31 60 75 76 29 00 00 00 39 38 27 27 
7.6000 103 00 00 00 31 60 75 76 29 00 00 00 39 37 29 27 
7.6500 104 00 00 00 31 60 75 76 29 00 00 00 37 37 31 28 
7.7000 104 00 00 00 30 60 75 76 30 00 00 00 34 43 29 28 
7.7500 105 00 00 00 30 60 75 76 30 00 00 00 34 46 28 27 
7.8000 106 00 00 00 30 60 75 76 30 00 00 00 34 45 31 26 
7.8500 107 00 00 00 30 60 75 76 30 00 00 00 37 45 30 25 
7.9000 108 00 00 00 30 60 75 76 30 00 00 00 38 45 29 26 
7.9500 109 00 00 00 30 60 75 76 30 00 00 00 38 43 31 27 
8.0000 110 00 00 00 30 60 75 76 30 00 00 00 36 46 31 27 
8.0500 110 00 00 00 29 60 75 76 31 00 00 00 42 40 32 27 
8.1000 111 00 00 00 29 60 75 76 31 00 00 00 41 39 38 24 
8.1500 112 00 00 00 29 60 75 76 31 00 00 00 42 36 40 25 
8.2000 113 00 00 00 29 60 75 76 31 00 00 00 42 38 38 26 
8.2500 114 00 00 00 29 60 75 76 31 00 00 00 44 38 38 25 
8.3000 114 00 00 00 28 60 75 76 32 00 00 00 42 44 35 25 
8.3500 115 00 00 00 28 60 75 76 32 00 00 00 45 39 38 25 
8.4000 116 00 00 00 28 60 75 76 32 00 00 00 44 41 39 24 
8.4500 117 00 00 00 28 60 75 76 32 00 00 00 47 42 36 24 
8.5000 118 00 00 00 28 60 75 76 32 00 00 00 48 41 34 27 
8.5500 119 00 00 00 28 60 75 76 32 00 00 00 46 42 39 24 
8.6000 120 00 00 00 28 60 75 76 32 00 00 00 47 45 38 22 
8.6500 121 00 00 00 28 60 75 76 32 00 00 00 52 39 40 22 
8.7000 122 00 00 00 28 60 75 76 32 00 00 00 52 38 41 23 
8.7500 123 00 00 00 28 60 75 76 32 00 00 00 53 35 44 23 
8.8000 124 00 00 00 28 60 75 76 32 00 00 00 54 34 42 26 
8.8500 125 00 00 00 28 60 75 76 32 00 00 00 52 38 42 25 
8.9000 126 00 00 00 28 60 75 76 32 00 00 00 52 38 40 28 
8.9500 126 00 00 00 27 60 75 76 33 00 00 00 54 37 41 27 
9.0000 126 00 00 00 26 60 75 76 34 00 00 00 57 36 37 30 
9.0500 126 00 00 00 25 60 75 76 35 00 00 00 54 39 39 29 
9.1000 127 00 00 00 25 60 75 76 35 00 00 00 55 41 34 32 
