cctdif2d
volumeGrid 139
 (3.8137 0.57894 0.0000)  (3.9501 0.56984 0.0000)  (3.9412 0.43681 0.0000)  (3.8049 0.44590 0.0000) 
 (3.9678 0.83592 0.0000)  (4.1042 0.82683 0.0000)  (4.0953 0.69379 0.0000)  (3.9590 0.70288 0.0000) 
 (3.9590 0.70288 0.0000)  (4.0953 0.69379 0.0000)  (4.0865 0.56075 0.0000)  (3.9501 0.56984 0.0000) 
 (3.9501 0.56984 0.0000)  (4.0865 0.56075 0.0000)  (4.0776 0.42772 0.0000)  (3.9412 0.43681 0.0000) 
 (4.1042 0.82683 0.0000)  (4.2406 0.81774 0.0000)  (4.2317 0.68470 0.0000)  (4.0953 0.69379 0.0000) 
 (4.0953 0.69379 0.0000)  (4.2317 0.68470 0.0000)  (4.2228 0.55166 0.0000)  (4.0865 0.56075 0.0000) 
 (4.0865 0.56075 0.0000)  (4.2228 0.55166 0.0000)  (4.2140 0.41862 0.0000)  (4.0776 0.42772 0.0000) 
 (4.2406 0.81774 0.0000)  (4.3769 0.80865 0.0000)  (4.3681 0.67561 0.0000)  (4.2317 0.68470 0.0000) 
 (4.2317 0.68470 0.0000)  (4.3681 0.67561 0.0000)  (4.3592 0.54257 0.0000)  (4.2228 0.55166 0.0000) 
 (4.2228 0.55166 0.0000)  (4.3592 0.54257 0.0000)  (4.3503 0.40953 0.0000)  (4.2140 0.41862 0.0000) 
 (4.3769 0.80865 0.0000)  (4.5133 0.79956 0.0000)  (4.5044 0.66652 0.0000)  (4.3681 0.67561 0.0000) 
 (4.3681 0.67561 0.0000)  (4.5044 0.66652 0.0000)  (4.4956 0.53348 0.0000)  (4.3592 0.54257 0.0000) 
 (4.3592 0.54257 0.0000)  (4.4956 0.53348 0.0000)  (4.4867 0.40044 0.0000)  (4.3503 0.40953 0.0000) 
 (4.5133 0.79956 0.0000)  (4.6497 0.79047 0.0000)  (4.6408 0.65743 0.0000)  (4.5044 0.66652 0.0000) 
