element_index  x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 volume deltaZ
133  -1.1102e-16 1.9286 4.2857 0.43478 1.9286 4.2857 0.43478 1.5000 4.2857 -8.3267e-17 1.5000 4.2857 0.079858 0.42857
134  -8.3267e-17 1.5000 -4.7143 0.43478 1.5000 -4.7143 0.43478 1.0714 -4.7143 -5.5511e-17 1.0714 -4.7143 0.079858 0.42857
135  -8.3267e-17 1.5000 -4.2857 0.43478 1.5000 -4.2857 0.43478 1.0714 -4.2857 -5.5511e-17 1.0714 -4.2857 0.079858 0.42857
136  -8.3267e-17 1.5000 -3.8571 0.43478 1.5000 -3.8571 0.43478 1.0714 -3.8571 -5.5511e-17 1.0714 -3.8571 0.079858 0.42857
137  -8.3267e-17 1.5000 -3.4286 0.43478 1.5000 -3.4286 0.43478 1.0714 -3.4286 -5.5511e-17 1.0714 -3.4286 0.079858 0.42857
138  -8.3267e-17 1.5000 -3.0000 0.43478 1.5000 -3.0000 0.43478 1.0714 -3.0000 -5.5511e-17 1.0714 -3.0000 0.079858 0.42857
139  -8.3267e-17 1.5000 -2.5714 0.43478 1.5000 -2.5714 0.43478 1.0714 -2.5714 -5.5511e-17 1.0714 -2.5714 0.079858 0.42857
140  -8.3267e-17 1.5000 -2.1429 0.43478 1.5000 -2.1429 0.43478 1.0714 -2.1429 -5.5511e-17 1.0714 -2.1429 0.079858 0.42857
141  -8.3267e-17 1.5000 -1.7143 0.43478 1.5000 -1.7143 0.43478 1.0714 -1.7143 -5.5511e-17 1.0714 -1.7143 0.079858 0.42857
142  -8.3267e-17 1.5000 -1.2857 0.43478 1.5000 -1.2857 0.43478 1.0714 -1.2857 -5.5511e-17 1.0714 -1.2857 0.079858 0.42857
143  -8.3267e-17 1.5000 -0.85714 0.43478 1.5000 -0.85714 0.43478 1.0714 -0.85714 -5.5511e-17 1.0714 -0.85714 0.079858 0.42857
144  -8.3267e-17 1.5000 -0.42857 0.43478 1.5000 -0.42857 0.43478 1.0714 -0.42857 -5.5511e-17 1.0714 -0.42857 0.079858 0.42857
145  -8.3267e-17 1.5000 0.0000 0.43478 1.5000 0.0000 0.43478 1.0714 0.0000 -5.5511e-17 1.0714 0.0000 0.079858 0.42857
146  -8.3267e-17 1.5000 0.42857 0.43478 1.5000 0.42857 0.43478 1.0714 0.42857 -5.5511e-17 1.0714 0.42857 0.079858 0.42857
147  -8.3267e-17 1.5000 0.85714 0.43478 1.5000 0.85714 0.43478 1.0714 0.85714 -5.5511e-17 1.0714 0.85714 0.079858 0.42857
148  -8.3267e-17 1.5000 1.2857 0.43478 1.5000 1.2857 0.43478 1.0714 1.2857 -5.5511e-17 1.0714 1.2857 0.079858 0.42857
149  -8.3267e-17 1.5000 1.7143 0.43478 1.5000 1.7143 0.43478 1.0714 1.7143 -5.5511e-17 1.0714 1.7143 0.079858 0.42857
150  -8.3267e-17 1.5000 2.1429 0.43478 1.5000 2.1429 0.43478 1.0714 2.1429 -5.5511e-17 1.0714 2.1429 0.079858 0.42857
151  -8.3267e-17 1.5000 2.5714 0.43478 1.5000 2.5714 0.43478 1.0714 2.5714 -5.5511e-17 1.0714 2.5714 0.079858 0.42857
152  -8.3267e-17 1.5000 3.0000 0.43478 1.5000 3.0000 0.43478 1.0714 3.0000 -5.5511e-17 1.0714 3.0000 0.079858 0.42857
153  -8.3267e-17 1.5000 3.4286 0.43478 1.5000 3.4286 0.43478 1.0714 3.4286 -5.5511e-17 1.0714 3.4286 0.079858 0.42857
154  -8.3267e-17 1.5000 3.8571 0.43478 1.5000 3.8571 0.43478 1.0714 3.8571 -5.5511e-17 1.0714 3.8571 0.079858 0.42857
155  -8.3267e-17 1.5000 4.2857 0.43478 1.5000 4.2857 0.43478 1.0714 4.2857 -5.5511e-17 1.0714 4.2857 0.079858 0.42857
156  -8.3267e-17 1.5000 4.7143 0.43478 1.5000 4.7143 0.43478 1.0714 4.7143 -5.5511e-17 1.0714 4.7143 0.079858 0.42857
157  -5.5511e-17 1.0714 -4.7143 0.43478 1.0714 -4.7143 0.43478 0.64286 -4.7143 -2.7756e-17 0.64286 -4.7143 0.079858 0.42857
158  -5.5511e-17 1.0714 -4.2857 0.43478 1.0714 -4.2857 0.43478 0.64286 -4.2857 -2.7756e-17 0.64286 -4.2857 0.079858 0.42857
159  -5.5511e-17 1.0714 -3.8571 0.43478 1.0714 -3.8571 0.43478 0.64286 -3.8571 -2.7756e-17 0.64286 -3.8571 0.079858 0.42857
160  -5.5511e-17 1.0714 -3.4286 0.43478 1.0714 -3.4286 0.43478 0.64286 -3.4286 -2.7756e-17 0.64286 -3.4286 0.079858 0.42857
161  -5.5511e-17 1.0714 -3.0000 0.43478 1.0714 -3.0000 0.43478 0.64286 -3.0000 -2.7756e-17 0.64286 -3.0000 0.079858 0.42857
162  -5.5511e-17 1.0714 -2.5714 0.43478 1.0714 -2.5714 0.43478 0.64286 -2.5714 -2.7756e-17 0.64286 -2.5714 0.079858 0.42857
163  -5.5511e-17 1.0714 -2.1429 0.43478 1.0714 -2.1429 0.43478 0.64286 -2.1429 -2.7756e-17 0.64286 -2.1429 0.079858 0.42857
164  -5.5511e-17 1.0714 -1.7143 0.43478 1.0714 -1.7143 0.43478 0.64286 -1.7143 -2.7756e-17 0.64286 -1.7143 0.079858 0.42857
165  -5.5511e-17 1.0714 -1.2857 0.43478 1.0714 -1.2857 0.43478 0.64286 -1.2857 -2.7756e-17 0.64286 -1.2857 0.079858 0.42857
166  -5.5511e-17 1.0714 -0.85714 0.43478 1.0714 -0.85714 0.43478 0.64286 -0.85714 -2.7756e-17 0.64286 -0.85714 0.079858 0.42857
167  -5.5511e-17 1.0714 -0.42857 0.43478 1.0714 -0.42857 0.43478 0.64286 -0.42857 -2.7756e-17 0.64286 -0.42857 0.079858 0.42857
