cctdif2d
volumeGrid 10977
 (-1.9429e-16 3.2143 1.2857)  (0.43478 3.2143 1.2857)  (0.43478 2.7857 1.2857)  (-1.6653e-16 2.7857 1.2857) 
 (-1.9429e-16 3.2143 1.7143)  (0.43478 3.2143 1.7143)  (0.43478 2.7857 1.7143)  (-1.6653e-16 2.7857 1.7143) 
 (-1.9429e-16 3.2143 2.1429)  (0.43478 3.2143 2.1429)  (0.43478 2.7857 2.1429)  (-1.6653e-16 2.7857 2.1429) 
 (-1.9429e-16 3.2143 2.5714)  (0.43478 3.2143 2.5714)  (0.43478 2.7857 2.5714)  (-1.6653e-16 2.7857 2.5714) 
 (-1.9429e-16 3.2143 3.0000)  (0.43478 3.2143 3.0000)  (0.43478 2.7857 3.0000)  (-1.6653e-16 2.7857 3.0000) 
 (-1.9429e-16 3.2143 3.4286)  (0.43478 3.2143 3.4286)  (0.43478 2.7857 3.4286)  (-1.6653e-16 2.7857 3.4286) 
 (-1.9429e-16 3.2143 3.8571)  (0.43478 3.2143 3.8571)  (0.43478 2.7857 3.8571)  (-1.6653e-16 2.7857 3.8571) 
 (-1.6653e-16 2.7857 -4.2857)  (0.43478 2.7857 -4.2857)  (0.43478 2.3571 -4.2857)  (-1.3878e-16 2.3571 -4.2857) 
 (-1.6653e-16 2.7857 -3.8571)  (0.43478 2.7857 -3.8571)  (0.43478 2.3571 -3.8571)  (-1.3878e-16 2.3571 -3.8571) 
 (-1.6653e-16 2.7857 -3.4286)  (0.43478 2.7857 -3.4286)  (0.43478 2.3571 -3.4286)  (-1.3878e-16 2.3571 -3.4286) 
 (-1.6653e-16 2.7857 -3.0000)  (0.43478 2.7857 -3.0000)  (0.43478 2.3571 -3.0000)  (-1.3878e-16 2.3571 -3.0000) 
 (-1.6653e-16 2.7857 -2.5714)  (0.43478 2.7857 -2.5714)  (0.43478 2.3571 -2.5714)  (-1.3878e-16 2.3571 -2.5714) 
 (-1.6653e-16 2.7857 -2.1429)  (0.43478 2.7857 -2.1429)  (0.43478 2.3571 -2.1429)  (-1.3878e-16 2.3571 -2.1429) 
 (-1.6653e-16 2.7857 -1.7143)  (0.43478 2.7857 -1.7143)  (0.43478 2.3571 -1.7143)  (-1.3878e-16 2.3571 -1.7143) 
 (-1.6653e-16 2.7857 -1.2857)  (0.43478 2.7857 -1.2857)  (0.43478 2.3571 -1.2857)  (-1.3878e-16 2.3571 -1.2857) 
 (-1.6653e-16 2.7857 -0.85714)  (0.43478 2.7857 -0.85714)  (0.43478 2.3571 -0.85714)  (-1.3878e-16 2.3571 -0.85714) 
 (-1.6653e-16 2.7857 -0.42857)  (0.43478 2.7857 -0.42857)  (0.43478 2.3571 -0.42857)  (-1.3878e-16 2.3571 -0.42857) 
 (-1.6653e-16 2.7857 0.0000)  (0.43478 2.7857 0.0000)  (0.43478 2.3571 0.0000)  (-1.3878e-16 2.3571 0.0000) 
 (-1.6653e-16 2.7857 0.42857)  (0.43478 2.7857 0.42857)  (0.43478 2.3571 0.42857)  (-1.3878e-16 2.3571 0.42857) 
 (-1.6653e-16 2.7857 0.85714)  (0.43478 2.7857 0.85714)  (0.43478 2.3571 0.85714)  (-1.3878e-16 2.3571 0.85714) 
 (-1.6653e-16 2.7857 1.2857)  (0.43478 2.7857 1.2857)  (0.43478 2.3571 1.2857)  (-1.3878e-16 2.3571 1.2857) 
 (-1.6653e-16 2.7857 1.7143)  (0.43478 2.7857 1.7143)  (0.43478 2.3571 1.7143)  (-1.3878e-16 2.3571 1.7143) 
 (-1.6653e-16 2.7857 2.1429)  (0.43478 2.7857 2.1429)  (0.43478 2.3571 2.1429)  (-1.3878e-16 2.3571 2.1429) 
 (-1.6653e-16 2.7857 2.5714)  (0.43478 2.7857 2.5714)  (0.43478 2.3571 2.5714)  (-1.3878e-16 2.3571 2.5714) 
 (-1.6653e-16 2.7857 3.0000)  (0.43478 2.7857 3.0000)  (0.43478 2.3571 3.0000)  (-1.3878e-16 2.3571 3.0000) 
 (-1.6653e-16 2.7857 3.4286)  (0.43478 2.7857 3.4286)  (0.43478 2.3571 3.4286)  (-1.3878e-16 2.3571 3.4286) 
 (-1.6653e-16 2.7857 3.8571)  (0.43478 2.7857 3.8571)  (0.43478 2.3571 3.8571)  (-1.3878e-16 2.3571 3.8571) 
 (-1.6653e-16 2.7857 4.2857)  (0.43478 2.7857 4.2857)  (0.43478 2.3571 4.2857)  (-1.3878e-16 2.3571 4.2857) 
 (-1.3878e-16 2.3571 -4.2857)  (0.43478 2.3571 -4.2857)  (0.43478 1.9286 -4.2857)  (-1.1102e-16 1.9286 -4.2857) 
 (-1.3878e-16 2.3571 -3.8571)  (0.43478 2.3571 -3.8571)  (0.43478 1.9286 -3.8571)  (-1.1102e-16 1.9286 -3.8571) 
 (-1.3878e-16 2.3571 -3.4286)  (0.43478 2.3571 -3.4286)  (0.43478 1.9286 -3.4286)  (-1.1102e-16 1.9286 -3.4286) 
 (-1.3878e-16 2.3571 -3.0000)  (0.43478 2.3571 -3.0000)  (0.43478 1.9286 -3.0000)  (-1.1102e-16 1.9286 -3.0000) 
 (-1.3878e-16 2.3571 -2.5714)  (0.43478 2.3571 -2.5714)  (0.43478 1.9286 -2.5714)  (-1.1102e-16 1.9286 -2.5714) 
 (-1.3878e-16 2.3571 -2.1429)  (0.43478 2.3571 -2.1429)  (0.43478 1.9286 -2.1429)  (-1.1102e-16 1.9286 -2.1429) 
 (-1.3878e-16 2.3571 -1.7143)  (0.43478 2.3571 -1.7143)  (0.43478 1.9286 -1.7143)  (-1.1102e-16 1.9286 -1.7143) 
 (-1.3878e-16 2.3571 -1.2857)  (0.43478 2.3571 -1.2857)  (0.43478 1.9286 -1.2857)  (-1.1102e-16 1.9286 -1.2857) 
 (-1.3878e-16 2.3571 -0.85714)  (0.43478 2.3571 -0.85714)  (0.43478 1.9286 -0.85714)  (-1.1102e-16 1.9286 -0.85714) 
 (-1.3878e-16 2.3571 -0.42857)  (0.43478 2.3571 -0.42857)  (0.43478 1.9286 -0.42857)  (-1.1102e-16 1.9286 -0.42857) 
 (-1.3878e-16 2.3571 0.0000)  (0.43478 2.3571 0.0000)  (0.43478 1.9286 0.0000)  (-1.1102e-16 1.9286 0.0000) 
 (-1.3878e-16 2.3571 0.42857)  (0.43478 2.3571 0.42857)  (0.43478 1.9286 0.42857)  (-1.1102e-16 1.9286 0.42857) 
 (-1.3878e-16 2.3571 0.85714)  (0.43478 2.3571 0.85714)  (0.43478 1.9286 0.85714)  (-1.1102e-16 1.9286 0.85714) 
 (-1.3878e-16 2.3571 1.2857)  (0.43478 2.3571 1.2857)  (0.43478 1.9286 1.2857)  (-1.1102e-16 1.9286 1.2857) 
 (-1.3878e-16 2.3571 1.7143)  (0.43478 2.3571 1.7143)  (0.43478 1.9286 1.7143)  (-1.1102e-16 1.9286 1.7143) 
 (-1.3878e-16 2.3571 2.1429)  (0.43478 2.3571 2.1429)  (0.43478 1.9286 2.1429)  (-1.1102e-16 1.9286 2.1429) 
 (-1.3878e-16 2.3571 2.5714)  (0.43478 2.3571 2.5714)  (0.43478 1.9286 2.5714)  (-1.1102e-16 1.9286 2.5714) 
 (-1.3878e-16 2.3571 3.0000)  (0.43478 2.3571 3.0000)  (0.43478 1.9286 3.0000)  (-1.1102e-16 1.9286 3.0000) 
 (-1.3878e-16 2.3571 3.4286)  (0.43478 2.3571 3.4286)  (0.43478 1.9286 3.4286)  (-1.1102e-16 1.9286 3.4286) 
 (-1.3878e-16 2.3571 3.8571)  (0.43478 2.3571 3.8571)  (0.43478 1.9286 3.8571)  (-1.1102e-16 1.9286 3.8571) 
 (-1.3878e-16 2.3571 4.2857)  (0.43478 2.3571 4.2857)  (0.43478 1.9286 4.2857)  (-1.1102e-16 1.9286 4.2857) 
 (-1.1102e-16 1.9286 -4.2857)  (0.43478 1.9286 -4.2857)  (0.43478 1.5000 -4.2857)  (-8.3267e-17 1.5000 -4.2857) 
 (-1.1102e-16 1.9286 -3.8571)  (0.43478 1.9286 -3.8571)  (0.43478 1.5000 -3.8571)  (-8.3267e-17 1.5000 -3.8571) 
 (-1.1102e-16 1.9286 -3.4286)  (0.43478 1.9286 -3.4286)  (0.43478 1.5000 -3.4286)  (-8.3267e-17 1.5000 -3.4286) 
 (-1.1102e-16 1.9286 -3.0000)  (0.43478 1.9286 -3.0000)  (0.43478 1.5000 -3.0000)  (-8.3267e-17 1.5000 -3.0000) 
 (-1.1102e-16 1.9286 -2.5714)  (0.43478 1.9286 -2.5714)  (0.43478 1.5000 -2.5714)  (-8.3267e-17 1.5000 -2.5714) 
 (-1.1102e-16 1.9286 -2.1429)  (0.43478 1.9286 -2.1429)  (0.43478 1.5000 -2.1429)  (-8.3267e-17 1.5000 -2.1429) 
 (-1.1102e-16 1.9286 -1.7143)  (0.43478 1.9286 -1.7143)  (0.43478 1.5000 -1.7143)  (-8.3267e-17 1.5000 -1.7143) 
 (-1.1102e-16 1.9286 -1.2857)  (0.43478 1.9286 -1.2857)  (0.43478 1.5000 -1.2857)  (-8.3267e-17 1.5000 -1.2857) 
 (-1.1102e-16 1.9286 -0.85714)  (0.43478 1.9286 -0.85714)  (0.43478 1.5000 -0.85714)  (-8.3267e-17 1.5000 -0.85714) 
 (-1.1102e-16 1.9286 -0.42857)  (0.43478 1.9286 -0.42857)  (0.43478 1.5000 -0.42857)  (-8.3267e-17 1.5000 -0.42857) 
 (-1.1102e-16 1.9286 0.0000)  (0.43478 1.9286 0.0000)  (0.43478 1.5000 0.0000)  (-8.3267e-17 1.5000 0.0000) 
 (-1.1102e-16 1.9286 0.42857)  (0.43478 1.9286 0.42857)  (0.43478 1.5000 0.42857)  (-8.3267e-17 1.5000 0.42857) 
 (-1.1102e-16 1.9286 0.85714)  (0.43478 1.9286 0.85714)  (0.43478 1.5000 0.85714)  (-8.3267e-17 1.5000 0.85714) 
 (-1.1102e-16 1.9286 1.2857)  (0.43478 1.9286 1.2857)  (0.43478 1.5000 1.2857)  (-8.3267e-17 1.5000 1.2857) 
 (-1.1102e-16 1.9286 1.7143)  (0.43478 1.9286 1.7143)  (0.43478 1.5000 1.7143)  (-8.3267e-17 1.5000 1.7143) 
 (-1.1102e-16 1.9286 2.1429)  (0.43478 1.9286 2.1429)  (0.43478 1.5000 2.1429)  (-8.3267e-17 1.5000 2.1429) 
 (-1.1102e-16 1.9286 2.5714)  (0.43478 1.9286 2.5714)  (0.43478 1.5000 2.5714)  (-8.3267e-17 1.5000 2.5714) 
 (-1.1102e-16 1.9286 3.0000)  (0.43478 1.9286 3.0000)  (0.43478 1.5000 3.0000)  (-8.3267e-17 1.5000 3.0000) 
 (-1.1102e-16 1.9286 3.4286)  (0.43478 1.9286 3.4286)  (0.43478 1.5000 3.4286)  (-8.3267e-17 1.5000 3.4286) 
 (-1.1102e-16 1.9286 3.8571)  (0.43478 1.9286 3.8571)  (0.43478 1.5000 3.8571)  (-8.3267e-17 1.5000 3.8571) 
 (-1.1102e-16 1.9286 4.2857)  (0.43478 1.9286 4.2857)  (0.43478 1.5000 4.2857)  (-8.3267e-17 1.5000 4.2857) 
 (-8.3267e-17 1.5000 -4.7143)  (0.43478 1.5000 -4.7143)  (0.43478 1.0714 -4.7143)  (-5.5511e-17 1.0714 -4.7143) 
