element_index  x0 y0 z0 x1 y1 z1 x2 y2 z2 x3 y3 z3 volume deltaZ
60  8.1143 2.1857 0.0000 8.1143 2.0000 0.0000 8.3143 2.0000 0.0000 8.3143 2.1857 0.0000 0.0058344 0.10000
61  8.1143 2.3714 0.0000 8.1143 2.1857 0.0000 8.3143 2.1857 0.0000 8.3143 2.3714 0.0000 0.0058344 0.10000
62  8.1143 2.5571 0.0000 8.1143 2.3714 0.0000 8.3143 2.3714 0.0000 8.3143 2.5571 0.0000 0.0058344 0.10000
63  8.0786 2.7429 0.0000 8.1143 2.5571 0.0000 8.3143 2.5571 0.0000 8.3500 2.7429 0.0000 0.0081662 0.11786
64  8.0321 2.9286 0.0000 8.0786 2.7429 0.0000 8.3500 2.7429 0.0000 8.3964 2.9286 0.0000 0.014841 0.15893
65  8.0143 3.1143 0.0000 8.0321 2.9286 0.0000 8.3964 2.9286 0.0000 8.4143 3.1143 0.0000 0.021316 0.19107
66  8.1643 3.3000 0.0000 8.0143 3.1143 0.0000 8.4143 3.1143 0.0000 8.2643 3.3000 0.0000 0.010210 0.12500
67  8.3143 -0.18571 0.0000 8.3143 2.2817e-16 0.0000 8.1143 2.1592e-16 0.0000 8.1143 -0.18571 0.0000 0.0058344 0.10000
68  8.3143 -0.37143 0.0000 8.3143 -0.18571 0.0000 8.1143 -0.18571 0.0000 8.1143 -0.37143 0.0000 0.0058344 0.10000
69  8.3143 -0.55714 0.0000 8.3143 -0.37143 0.0000 8.1143 -0.37143 0.0000 8.1143 -0.55714 0.0000 0.0058344 0.10000
70  8.3500 -0.74286 0.0000 8.3143 -0.55714 0.0000 8.1143 -0.55714 0.0000 8.0786 -0.74286 0.0000 0.0081662 0.11786
71  8.3964 -0.92857 0.0000 8.3500 -0.74286 0.0000 8.0786 -0.74286 0.0000 8.0321 -0.92857 0.0000 0.014841 0.15893
72  8.4143 -1.1143 0.0000 8.3964 -0.92857 0.0000 8.0321 -0.92857 0.0000 8.0143 -1.1143 0.0000 0.021316 0.19107
73  8.2643 -1.3000 0.0000 8.4143 -1.1143 0.0000 8.0143 -1.1143 0.0000 8.1643 -1.3000 0.0000 0.010210 0.12500
74  9.5429 2.1857 0.0000 9.5429 2.0000 0.0000 9.7429 2.0000 0.0000 9.7429 2.1857 0.0000 0.0058344 0.10000
75  9.5429 2.3714 0.0000 9.5429 2.1857 0.0000 9.7429 2.1857 0.0000 9.7429 2.3714 0.0000 0.0058344 0.10000
76  9.5429 2.5571 0.0000 9.5429 2.3714 0.0000 9.7429 2.3714 0.0000 9.7429 2.5571 0.0000 0.0058344 0.10000
77  9.5071 2.7429 0.0000 9.5429 2.5571 0.0000 9.7429 2.5571 0.0000 9.7786 2.7429 0.0000 0.0081662 0.11786
78  9.4607 2.9286 0.0000 9.5071 2.7429 0.0000 9.7786 2.7429 0.0000 9.8250 2.9286 0.0000 0.014841 0.15893
79  9.4429 3.1143 0.0000 9.4607 2.9286 0.0000 9.8250 2.9286 0.0000 9.8429 3.1143 0.0000 0.021316 0.19107
80  9.5929 3.3000 0.0000 9.4429 3.1143 0.0000 9.8429 3.1143 0.0000 9.6929 3.3000 0.0000 0.010210 0.12500
